rho,s,D,tel_strictly_decreasing,exp_strictly_decreasing,C,c1,c2,C_lower_bound_ok,C_upper_bound_ok,kappa_tel,kappa_exp,identity_lhs,identity_rhs,relative_identity_error,tel_consecutive_diff_max_abs_error,exp_consecutive_diff_max_abs_error
0.1,0.2,38,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,6.682001890576568e+62,9.094947017729262e+25,7.346938775510168e+36,7.346938775510188e+36,2.7317578334933495e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,39,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,3.341000945288283e+64,4.547473508864631e+26,7.346938775510166e+37,7.346938775510188e+37,3.0852794354748414e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,40,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,1.6705004726441413e+66,2.2737367544323154e+27,7.346938775510166e+38,7.346938775510187e+38,2.8795941397765192e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,41,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,8.352502363220704e+67,1.1368683772161579e+28,7.346938775510162e+39,7.346938775510186e+39,3.2909647311731652e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,42,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,4.176251181610352e+69,5.6843418860807885e+28,7.346938775510162e+40,7.346938775510187e+40,3.2909647311731652e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,43,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,2.0881255908051755e+71,2.842170943040394e+29,7.346938775510162e+41,7.346938775510187e+41,3.369947884721321e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,44,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,1.0440627954025876e+73,1.4210854715201968e+30,7.346938775510161e+42,7.346938775510186e+42,3.3699478847213213e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,45,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,5.220313977012936e+74,7.105427357600984e+30,7.346938775510158e+43,7.346938775510185e+43,3.639543715499027e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,46,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,2.610156988506468e+76,3.552713678800492e+31,7.34693877551016e+44,7.346938775510186e+44,3.666503298576797e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,47,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,1.3050784942532336e+78,1.776356839400246e+32,7.346938775510158e+45,7.346938775510184e+45,3.623367965652366e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,48,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,6.525392471266167e+79,8.881784197001228e+32,7.346938775510157e+46,7.346938775510184e+46,3.726892764671004e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,49,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,3.262696235633083e+81,4.4408920985006144e+33,7.346938775510155e+47,7.346938775510183e+47,3.754499377742642e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.3,2,True,True,0.7212367382589645,0.43181087898355086,1.5069966137434552,True,True,31.000000000000004,4.298172618720548,7.212367382589647,7.212367382589645,2.4629317187700422e-16,0.0,1.1102230246251565e-16
0.1,0.3,3,True,True,0.6682621754509982,0.43181087898355086,1.5069966137434552,True,True,1031.0,15.428076552502713,66.82621754509982,66.82621754509981,2.1265388401807052e-16,0.0,1.1102230246251565e-16
0.1,0.3,4,True,True,0.6548639352049795,0.43181087898355086,1.5069966137434552,True,True,34364.333333333336,52.47553191729351,654.8639352049796,654.8639352049795,1.7360375432192767e-16,1.1102230246251565e-16,1.1102230246251565e-16
0.1,0.3,5,True,True,0.6510741932736722,0.43181087898355086,1.5069966137434552,True,True,1145475.4444444445,175.93623833942314,6510.741932736722,6510.741932736721,2.7938281417664236e-16,1.1102230246251565e-16,1.1102230246251565e-16
0.1,0.3,6,True,True,0.6499591123730184,0.43181087898355086,1.5069966137434552,True,True,38182512.481481485,587.4602225680951,64995.91123730183,64995.91123730182,1.119448512325446e-16,1.1102230246251565e-16,5.551115123125783e-17
0.1,0.3,7,True,True,0.6496266850905286,0.43181087898355086,1.5069966137434552,True,True,1272750413.7160494,1959.2027897355938,649626.6850905285,649626.6850905283,1.7920341712981177e-16,1.1102230246251565e-16,1.1102230246251565e-16
0.1,0.3,8,True,True,0.6495271591258555,0.43181087898355086,1.5069966137434552,True,True,42425013788.20166,6531.676650026145,6495271.591258555,6495271.591258552,4.301541028102051e-16,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.3,9,True,True,0.6494973208949266,0.43181087898355086,1.5069966137434552,True,True,1414167126271.0552,21773.25572833016,64949732.08949265,64949732.089492634,2.294260609622795e-16,3.469446951953614e-18,1.1102230246251565e-16
0.1,0.3,10,True,True,0.6494883713220277,0.43181087898355086,1.5069966137434552,True,True,47138904209032.84,72578.51917053114,649488371.3220278,649488371.3220274,5.506301335686666e-16,1.1102230246251565e-16,1.734723475976807e-18
