seed,method,regime,epsilon,leaf_accuracy,macro_f1,path_accuracy,wrong_parent_rate,nll,ece,wrong_branch_mass_mean,catastrophic_wrong_branch
11,poincare,corrupted,0.4,0.5774687854710556,0.5722636866326413,0.5774687854710556,0.19877979568671963,1.584936037502959,0.03405399124698435,0.27134591823811494,0.2246027241770715
11,ultrametric,corrupted,0.4,0.5767593643586834,0.571979264911581,0.5767593643586834,0.20090805902383654,1.5842452985704598,0.03404498265567766,0.27198937608170665,0.2231838819523269
11,geometric_shell,corrupted,0.4,0.5767593643586834,0.5719677604555612,0.5767593643586834,0.20076617480136208,1.5839543189333367,0.034195020605429345,0.27222939481110225,0.22261634506242906
23,vanilla,exact,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,exact,0.0,0.686577752553916,0.6740461104328052,0.686577752553916,0.0,1.0466020107269287,0.02544038618040546,4.642870315222681e-09,0.0
23,tree,exact,0.0,0.6071225879682179,0.6001598894736913,0.6071225879682179,0.15422814982973893,1.4546750633478334,0.03494905138844803,0.22491930368946633,0.1760783200908059
23,poincare,exact,0.0,0.6048524404086265,0.5980181049794313,0.6048524404086265,0.15763337116912599,1.4648990853938024,0.033801112666383575,0.22915637892204044,0.18033484676503972
23,ultrametric,exact,0.0,0.6025822928490352,0.5957647475866756,0.6025822928490352,0.1611804767309875,1.4737674686535145,0.03181102435521139,0.23332922009727847,0.1844494892167991
23,geometric_shell,exact,0.0,0.6017309875141884,0.5950746510782969,0.6017309875141884,0.16245743473325766,1.477670479491701,0.032209885325943745,0.23503330141726764,0.18615209988649262
23,vanilla,predicted,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,predicted,0.0,0.5288024971623155,0.5222568472661142,0.5288024971623155,0.23198070374574348,7.203545093536377,0.12832946791741723,0.23198070701012952,0.23198070374574348
23,tree,predicted,0.0,0.5784619750283768,0.5718257246738387,0.5784619750283768,0.19665153234960273,1.5779179228338855,0.03251204617158937,0.26175230379400954,0.22162315550510783
23,poincare,predicted,0.0,0.5784619750283768,0.5719399479692181,0.5784619750283768,0.19721906923950056,1.5779776573181152,0.03164144319658687,0.2629466629528972,0.2224744608399546
23,ultrametric,predicted,0.0,0.5783200908059024,0.5716305655110515,0.5783200908059024,0.19807037457434734,1.5776057358611848,0.03221492328918509,0.26423011112193145,0.22290011350737798
23,geometric_shell,predicted,0.0,0.5780363223609535,0.5713247163292683,0.5780363223609535,0.19835414301929624,1.5775751396859097,0.03203453350877267,0.26473748085576115,0.22275822928490352
23,vanilla,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,tree,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.5801558165490643,0.029932995886561994,0.2780638131904999,0.23155505107832008
23,poincare,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,ultrametric,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.5801558165490643,0.029932995886561994,0.2780638131904999,0.23155505107832008
23,geometric_shell,missing,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.5801558165490643,0.029932995886561994,0.2780638131904999,0.23155505107832008
23,vanilla,corrupted,0.0,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,corrupted,0.0,0.5288024971623155,0.5222568472661142,0.5288024971623155,0.23198070374574348,7.203545093536377,0.12832946791741723,0.23198070701012952,0.23198070374574348
23,tree,corrupted,0.0,0.5784619750283768,0.5718257246738387,0.5784619750283768,0.19665153234960273,1.5779179228338855,0.03251204617158937,0.26175230379400954,0.22162315550510783
23,poincare,corrupted,0.0,0.5784619750283768,0.5719399479692181,0.5784619750283768,0.19721906923950056,1.5779776573181152,0.03164144319658687,0.2629466629528972,0.2224744608399546
23,ultrametric,corrupted,0.0,0.5783200908059024,0.5716305655110515,0.5783200908059024,0.19807037457434734,1.5776057358611848,0.03221492328918509,0.26423011112193145,0.22290011350737798
23,geometric_shell,corrupted,0.0,0.5780363223609535,0.5713247163292683,0.5780363223609535,0.19835414301929624,1.5775751396859097,0.03203453350877267,0.26473748085576115,0.22275822928490352
23,vanilla,corrupted,0.1,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
